match_id,id,title,authors,venue,year,source
10,conf/vldb/KemperK94,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",VLDB,1994,DBLP
11,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur «etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",SIGMOD Conference,2003,DBLP
11,872855,Aurora: a data stream management system,"D. Abadi, D. Carney, U. &#199;etintemel, M. Cherniack, C. Convey, C. Erwin, E. Galvez, M. Hatoun, A. Maskey, A. Rasin, A. Singer, M. Stonebraker, N. Tatbul, Y. Xing, R. Yan, S. Zdonik",International Conference on Management of Data,2003,ACM
12,765752,Priority assignment in real-time active databases,"Rajendran M. Sivasankaran, John A. Stankovic, Don Towsley, Bhaskar Purimetla, Krithi Ramamritham",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996,ACM
12,journals/vldb/SivasankaranSTPR96,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",VLDB J.,1996,DBLP
13,journals/vldb/SheikholeslamiCZ00,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB J.,2000,DBLP
13,764221,WaveCluster: a wavelet-based clustering approach for spatial data in very large databases,"Gholamhosein Sheikholeslami, Surojit Chatterjee, Aidong Zhang",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000,ACM
14,767145,Approximate query mapping: Accounting for translation closeness,"Kevin Chen-Chuan Chang, H&#233;ctor Garc&#237;a-Molina",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001,ACM
14,journals/vldb/ChangG01,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001,DBLP
15,673491,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",Very Large Data Bases,1996,ACM
15,conf/vldb/ShaferAM96,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",VLDB,1996,DBLP
16,conf/sigmod/AgichteinGV01,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001,DBLP
16,375774,Snowball: a prototype system for extracting relations from large text collections,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",International Conference on Management of Data,2001,ACM
17,conf/sigmod/GriffinH97,A Framework for Implementing Hypothetical Queries,"Timothy Griffin, Richard Hull",SIGMOD Conference,1997,DBLP
17,253304,A framework for implementing hypothetical queries,"Timothy Griffin, Richard Hull",International Conference on Management of Data,1997,ACM
18,journals/vldb/IoannidisNSS97,Parametric Query Optimization,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",VLDB J.,1997,DBLP
18,765552,Parametric query optimization,"Yannis E. Ioannidis, Raymond T. Ng, Kyuseok Shim, Timos K. Sellis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997,ACM
19,conf/vldb/CuiW01,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",VLDB,2001,DBLP
19,672029,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",Very Large Data Bases,2001,ACM
19,775456,Lineage tracing for general data warehouse transformations,"Y. Cui, J. Widom",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2003,ACM
19,journals/vldb/CuiW03,Lineage tracing for general data warehouse transformations,"Jennifer Widom, Yingwei Cui",VLDB J.,2003,DBLP
20,565135,Report on the ACM fourth international workshop on data warehousing and OLAP (DOLAP 2001),Joachim Hammer,ACM SIGMOD Record ,2002,ACM
20,journals/sigmod/Hammer02,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),Joachim Hammer,SIGMOD Record,2002,DBLP
21,671873,Approximating Aggregate Queries about Web Pages via Random Walks,"Ziv Bar-Yossef, Alexander Berg, Steve Chien, Jittat Fakcharoenphol, Dror Weitz",Very Large Data Bases,2000,ACM
21,conf/vldb/Bar-YossefBCFW00,Approximating Aggregate Queries about Web Pages via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,2000,DBLP
22,journals/sigmod/FernandezFLS97,A Query Language for a Web-Site Management System,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",SIGMOD Record,1997,DBLP
22,262763,A query language for a Web-site management system,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",ACM SIGMOD Record ,1997,ACM
23,conf/vldb/BertinoBFS96,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",VLDB,1996,DBLP
23,673475,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,"Elisa Bertino, Claudio Bettini, Elena Ferrari, Pierangela Samarati",Very Large Data Bases,1996,ACM
24,conf/sigmod/LiS98,Free Parallel Data Mining,"Bin Li, Dennis Shasha",SIGMOD Conference,1998,DBLP
24,276374,Free parallel data mining,"Bin Li, Dennis Shasha",International Conference on Management of Data,1998,ACM
25,671496,High Level Indexing of User-Defined Types,"Weidong Chen, Jyh-Herng Chow, You-Chin Fuh, Jean Grandbois, Michelle Jou, Nelson Mendon&#231;a Mattos, Brian T. Tran, Yun Wang",Very Large Data Bases,1999,ACM
25,conf/vldb/ChenCFGJMTW99,High Level Indexing of User-Defined Types,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson MendonÁa Mattos",VLDB,1999,DBLP
26,conf/vldb/Bernstein94,PC Database Systems - Present and Future,Philip A. Bernstein,VLDB,1994,DBLP
26,672999,PC Database Systems - Present and Future,Philip A. Bernstein,Very Large Data Bases,1994,ACM
27,conf/vldb/LuoN01,Form-Based Proxy Caching for Database-Backed Web Sites,"Jeffrey F. Naughton, Qiong Luo",VLDB,2001,DBLP
27,672041,Form-Based Proxy Caching for Database-Backed Web Sites,"Qiong Luo, Jeffrey F. Naughton",Very Large Data Bases,2001,ACM
28,765527,A logical view of structured files,"Serge Abiteboul, Sophie Cluet, Tova Milo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998,ACM
28,journals/vldb/AbiteboulCM98,A Logical View of Structured Files,"Tova Milo, Serge Abiteboul, Sophie Cluet",VLDB J.,1998,DBLP
29,journals/sigmod/PitouraAPSV03,DBGlobe: a service-oriented P2P system for global computing,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",SIGMOD Record,2003,DBLP
29,945737,DBGlobe: a service-oriented P2P system for global computing,"Evaggelia Pitoura, Serge Abiteboul, Dieter Pfoser, George Samaras, Michalis Vazirgiannis",ACM SIGMOD Record ,2003,ACM
30,304573,Database patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1999,ACM
30,conf/sigmod/BraumandlKK99,Database Patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",SIGMOD Conference,1999,DBLP
31,conf/vldb/ZemankovaI94,Scientific Databases - State of the Art and Future Directions,"Yannis E. Ioannidis, Maria Zemankova",VLDB,1994,DBLP
31,672998,Scientific Databases - State of the Art and Future Directions,"Maria Zemankova, Yannis E. Ioannidis",Very Large Data Bases,1994,ACM
32,conf/vldb/BerckenSW97,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",VLDB,1997,DBLP
32,671016,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Jochen Van den Bercken, Bernhard Seeger, Peter Widmayer",Very Large Data Bases,1997,ACM
33,conf/vldb/ZhouS03,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"Jˆrg Sander, Jianjun Zhou",VLDB,2003,DBLP
34,conf/vldb/LabioG96,Efficient Snapshot Differential Algorithms for Data Warehousing,"Hector Garcia-Molina, Wilburt Labio",VLDB,1996,DBLP
34,673477,Efficient Snapshot Differential Algorithms for Data Warehousing,"Wilburt Labio, Hector Garcia-Molina",Very Large Data Bases,1996,ACM
35,conf/vldb/CochranePM96,Integrating Triggers and Declarative Constraints in SQL Database Sytems,"Roberta Cochrane, Hamid Pirahesh, Nelson MendonÁa Mattos",VLDB,1996,DBLP
35,673498,Integrating Triggers and Declarative Constraints in SQL Database Sytems,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon&#231;a Mattos",Very Large Data Bases,1996,ACM
36,conf/vldb/HristidisGP03,Efficient IR-Style Keyword Search over Relational Databases,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",VLDB,2003,DBLP
37,journals/vldb/SaltenisJ02,Indexing of now-relative spatio-bitemporal data,"Simonas Saltenis, Christian S. Jensen",VLDB J.,2002,DBLP
37,767093,Indexing of now-relative spatio-bitemporal data,"Simonas &#352;altenis, Christian S. Jensen",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2002,ACM
38,conf/sigmod/Dyreson03,"Temporal Coalescing with Now, Granularity, and Incomplete Information",Curtis E. Dyreson,SIGMOD Conference,2003,DBLP
38,872779,"Temporal coalescing with now granularity, and incomplete information",Curtis E. Dyreson,International Conference on Management of Data,2003,ACM
39,journals/sigmod/ChakravarthyAEFO03,Database Research at UT Arlington,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",SIGMOD Record,2003,DBLP
39,641006,Database research at UT Arlington,"Sharma Chakravarthy, Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, JungHwan Oh",ACM SIGMOD Record ,2003,ACM
40,journals/sigmod/KimballS95,Why Decision Support Fails and How To Fix It,"Kevin Strehlo, Ralph Kimball",SIGMOD Record,1995,DBLP
40,212023,Why decision support fails and how to fix it,"Ralph Kimball, Kevin Strehlo",ACM SIGMOD Record ,1995,ACM
41,672984,A Low-Cost Storage Server for Movie on Demand Databases,"Banu &#214;zden, Alexandros Biliris, Rajeev Rastogi, Abraham Silberschatz",Very Large Data Bases,1994,ACM
41,conf/vldb/OzdenBRS94,A Low-Cost Storage Server for Movie on Demand Databases,"Alexandros Biliris, Banu ÷zden, Abraham Silberschatz, Rajeev Rastogi",VLDB,1994,DBLP
42,conf/vldb/NinkHR99,Generating Call-Level Interfaces for Advanced Database Application Programming,"Theo H‰rder, Norbert Ritter, Udo Nink",VLDB,1999,DBLP
42,671661,Generating Call-Level Interfaces for Advanced Database Application Programming,"Udo Nink, Theo H&#228;rder, Norbert Ritter",Very Large Data Bases,1999,ACM
43,564737,Clustering by pattern similarity in large data sets,"Haixun Wang, Wei Wang, Jiong Yang, Philip S. Yu",International Conference on Management of Data,2002,ACM
43,conf/sigmod/WangWYY02,Clustering by pattern similarity in large data sets,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",SIGMOD Conference,2002,DBLP
44,conf/sigmod/Rodriguez-Martinez00,MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,"Manuel Rodriguez-Martinez, Joseph J·J·, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",SIGMOD Conference,2000,DBLP
44,336575,MOCHA: a database middleware system featuring automatic deployment of application-specific functionality,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos, John M. McGann, Stephen Kelley, Vadim Katz, Zhexuan Song, Joseph J&#225;J&#225;",International Conference on Management of Data,2000,ACM
45,conf/sigmod/ChenDLT00,Fact: A Learning Based Web Query Processing System,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",SIGMOD Conference,2000,DBLP
45,336560,FACT: a learning based Web query processing system,"Songting Chen, Yanlei Diao, Hongjun Lu, Zengping Tian",International Conference on Management of Data,2000,ACM
46,604280,SQL multimedia and application packages (SQL/MM),"Jim Melton, Andrew Eisenberg",ACM SIGMOD Record ,2001,ACM
46,journals/sigmod/MeltonE01,SQL Multimedia and Application Packages (SQL/MM),"Jim Melton, Andrew Eisenberg",SIGMOD Record,2001,DBLP
47,673492,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,Amit P. Sheth,Very Large Data Bases,1996,ACM
47,conf/vldb/Sheth96,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,Amit P. Sheth,VLDB,1996,DBLP
48,conf/sigmod/Larson01,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),Per-≈ke Larson,SIGMOD Conference,2001,DBLP
49,journals/sigmod/ChaudhuriD97,An Overview of Data Warehousing and OLAP Technology,"Surajit Chaudhuri, Umeshwar Dayal",SIGMOD Record,1997,DBLP
49,248616,An overview of data warehousing and OLAP technology,"Surajit Chaudhuri, Umeshwar Dayal",ACM SIGMOD Record ,1997,ACM
50,191852,Staggered striping in multimedia information systems,"Steven Berson, Shahram Ghandeharizadeh, Richard Muntz, Xiangyu Ju",International Conference on Management of Data,1994,ACM
50,conf/sigmod/BersonGMJ94,Staggered Striping in Multimedia Information Systems,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",SIGMOD Conference,1994,DBLP
51,journals/sigmod/GerlaX03,Multimedia streaming in large-scale sensor networks with mobile swarms,"Mario Gerla, Kaixin Xu",SIGMOD Record,2003,DBLP
51,959073,Multimedia streaming in large-scale sensor networks with mobile swarms,"Mario Gerla, Kaixin Xu",ACM SIGMOD Record ,2003,ACM
52,journals/sigmod/Klein94,How to Modify SQL Queries in Order to Guarantee Sure Answers,Hans-Joachim Klein,SIGMOD Record,1994,DBLP
52,187445,How to modify SQL queries in order to guarantee sure answers,H.-J. Klein,ACM SIGMOD Record ,1994,ACM
53,672997,Materialization: A Powerful and Ubiquitous Abstraction Pattern,"Alain Pirotte, Esteban Zim&#225;nyi, David Massart, Tatiana Yakusheva",Very Large Data Bases,1994,ACM
53,conf/vldb/PirotteZMY94,Materialization: A Powerful and Ubiquitous Abstraction Pattern,"Alain Pirotte, Esteban Zim·nyi, Tatiana Yakusheva, David Massart",VLDB,1994,DBLP
54,375780,Dynamic content acceleration: a caching solution to enable scalable dynamic Web page generation,"Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen Thomas, Debra VanderMeer",International Conference on Management of Data,2001,ACM
54,conf/sigmod/DattaDRTV01,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",SIGMOD Conference,2001,DBLP
55,190631,Data modelling in the large,Martin Bertram,ACM SIGMOD Record ,1994,ACM
55,journals/sigmod/Bertram94,Data Modelling in the Large,Martin Bertram,SIGMOD Record,1994,DBLP
56,375720,Updating XML,"Igor Tatarinov, Zachary G. Ives, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data,2001,ACM
56,conf/sigmod/TatarinovIHW01,Updating XML,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,2001,DBLP
57,637435,Research in information managment at Dublin City University,"Mark Roantree, Alan F. Smeaton",ACM SIGMOD Record ,2002,ACM
57,journals/sigmod/RoantreeS02,Research in Information Managment at Dublin City University,"Alan F. Smeaton, Mark Roantree",SIGMOD Record,2002,DBLP
58,276386,The multidimensional database system RasDaMan,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data,1998,ACM
58,conf/sigmod/BaumannDFRW98,The Multidimensional Database System RasDaMan,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",SIGMOD Conference,1998,DBLP
59,conf/vldb/AnSVKIG01,Analyzing energy behavior of spatial access methods for memory-resident data,"Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir",VLDB,2001,DBLP
59,672374,Analyzing energy behavior of spatial access methods for memory-resident data,"Ning An, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut T. Kandemir, Mary Jane Irwin, Sudhanva Gurumurthi",Very Large Data Bases,2001,ACM
60,conf/vldb/Graefe99,The Value of Merge-Join and Hash-Join in SQL Server,Goetz Graefe,VLDB,1999,DBLP
60,671528,The Value of Merge-Join and Hash-Join in SQL Server,Goetz Graefe,Very Large Data Bases,1999,ACM
61,564754,Efficient execution of joins in a star schema,Andreas Weininger,International Conference on Management of Data,2002,ACM
61,conf/sigmod/Weininger02,Efficient execution of joins in a star schema,Andreas Weininger,SIGMOD Conference,2002,DBLP
62,journals/vldb/PucheralBVB01,PicoDBMS: Scaling down database techniques for the smartcard,"Patrick Valduriez, Philippe Pucheral, Christophe Bobineau, Luc Bouganim",VLDB J.,2001,DBLP
62,767143,PicoDBMS: Scaling down database techniques for the smartcard,"Philippe Pucheral, Luc Bouganim, Patrick Valduriez, Christophe Bobineau",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001,ACM
62,758380,PicoDMBS: Scaling Down Database Techniques for the Smartcard,"Christophe Bobineau, Luc Bouganim, Philippe Pucheral, Patrick Valduriez",Very Large Data Bases,2000,ACM
62,conf/vldb/ChristopheBPV00,PicoDMBS: Scaling Down Database Techniques for the Smartcard,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",VLDB,2000,DBLP
63,conf/vldb/JagadishKNS99,Multi-Dimensional Substring Selectivity Estimation,"Divesh Srivastava, Olga Kapitskaia, Raymond T. Ng, H. V. Jagadish",VLDB,1999,DBLP
63,671501,Multi-Dimensional Substring Selectivity Estimation,"H. V. Jagadish, Olga Kapitskaia, Raymond T. Ng, Divesh Srivastava",Very Large Data Bases,1999,ACM
64,journals/vldb/HarderST99,The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,"Theo H‰rder, Joachim Thomas, G¸nter Sauter",VLDB J.,1999,DBLP
64,765516,The intrinsic problems of structural heterogeneity and an approach to their solution,"Theo H&#228;rder, G&#252;nter Sauter, Joachim Thomas",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999,ACM
65,conf/sigmod/Mohan99,A Database Perspective on Lotus Domino/Notes,C. Mohan,SIGMOD Conference,1999,DBLP
65,304230,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999,ACM
66,journals/sigmod/Camps96,"Domains, Relations and Religious Wars",Rafael Camps,SIGMOD Record,1996,DBLP
66,234890,"Domains, relations and religious wars",R. Camps,ACM SIGMOD Record ,1996,ACM
67,conf/vldb/Shenker03,The Data-Centric Revolution in Networking,Scott Shenker,VLDB,2003,DBLP
68,conf/sigmod/DeshpandeNGS03,Cache-and-Query for Wide Area Sensor Databases,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",SIGMOD Conference,2003,DBLP
68,872818,Cache-and-query for wide area sensor databases,"Amol Deshpande, Suman Nath, Phillip B. Gibbons, Srinivasan Seshan",International Conference on Management of Data,2003,ACM
69,conf/vldb/GardarinGT95,A Cost Model for Clustered Object-Oriented Databases,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",VLDB,1995,DBLP
69,673169,A Cost Model for Clustered Object-Oriented Databases,"Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang",Very Large Data Bases,1995,ACM
70,671164,Expiring Data in a Warehouse,"Hector Garcia-Molina, Wilburt Labio, Jun Yang",Very Large Data Bases,1998,ACM
70,conf/vldb/Garcia-MolinaLY98,Expiring Data in a Warehouse,"Wilburt Labio, Jun Yang, Hector Garcia-Molina",VLDB,1998,DBLP
71,journals/sigmod/Qian97,Opportunities in Information Management and Assurance,Xiaolei Qian,SIGMOD Record,1997,DBLP
71,248618,Opportunities in information management and assurance,Xiaolei Qian,ACM SIGMOD Record ,1997,ACM
72,673666,Finding Data in the Neighborhood,"Andr&#233; Eickler, Alfons Kemper, Donald Kossmann",Very Large Data Bases,1997,ACM
72,conf/vldb/EicklerKK97,Finding Data in the Neighborhood,"AndrÈ Eickler, Alfons Kemper, Donald Kossmann",VLDB,1997,DBLP
73,375690,PREFER: a system for the efficient execution of multi-parametric ranked queries,"Vagelis Hristidis, Nick Koudas, Yannis Papakonstantinou",International Conference on Management of Data,2001,ACM
73,conf/sigmod/HristidisKP01,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",SIGMOD Conference,2001,DBLP
74,journals/sigmod/Franklin99a,Editor's Notes,Michael J. Franklin,SIGMOD Record,1999,DBLP
74,journals/sigmod/Segev94,Editor's Notes,Arie Segev,SIGMOD Record,1994,DBLP
74,journals/sigmod/Franklin98b,Editor's Notes,Michael J. Franklin,SIGMOD Record,1998,DBLP
74,journals/sigmod/Franklin97,Editor's Notes,Michael J. Franklin,SIGMOD Record,1997,DBLP
74,journals/sigmod/Widom95,Editor's Notes,Jennifer Widom,SIGMOD Record,1995,DBLP
74,journals/sigmod/Widom96,Editor's Notes,Jennifer Widom,SIGMOD Record,1996,DBLP
74,journals/sigmod/Franklin98,Editor's Notes,Michael J. Franklin,SIGMOD Record,1998,DBLP
74,journals/sigmod/Liu03a,Editor's Notes,Ling Liu,SIGMOD Record,2003,DBLP
74,journals/sigmod/Franklin99b,Editor's Notes,Michael J. Franklin,SIGMOD Record,1999,DBLP
74,journals/sigmod/Liu03,Editor's Notes,Ling Liu,SIGMOD Record,2003,DBLP
74,journals/sigmod/Liu03c,Editor's Notes,Ling Liu,SIGMOD Record,2003,DBLP
74,journals/sigmod/Liu03b,Editor's Notes,Ling Liu,SIGMOD Record,2003,DBLP
74,journals/sigmod/Franklin98a,Editor's Notes,Michael J. Franklin,SIGMOD Record,1998,DBLP
74,journals/sigmod/Franklin00,Editor's Notes,Michael J. Franklin,SIGMOD Record,2000,DBLP
74,journals/sigmod/Liu01b,Editor's Notes,Ling Liu,SIGMOD Record,2001,DBLP
74,journals/sigmod/Liu02c,Editor's Notes,Ling Liu,SIGMOD Record,2002,DBLP
74,journals/sigmod/Widom95a,Editor's Notes,Jennifer Widom,SIGMOD Record,1995,DBLP
74,journals/sigmod/Widom96a,Editor's Notes,Jennifer Widom,SIGMOD Record,1996,DBLP
74,journals/sigmod/Franklin97b,Editor's Notes,Michael J. Franklin,SIGMOD Record,1997,DBLP
74,journals/sigmod/Liu02a,Editor's Notes,Ling Liu,SIGMOD Record,2002,DBLP
74,journals/sigmod/Franklin99,Editor's Notes,Michael J. Franklin,SIGMOD Record,1999,DBLP
74,journals/sigmod/Segev94a,Editor's Notes,Arie Segev,SIGMOD Record,1994,DBLP
74,journals/sigmod/Franklin00a,Editor's Notes,Michael J. Franklin,SIGMOD Record,2000,DBLP
74,journals/sigmod/Franklin00b,Editor's Notes,Michael J. Franklin,SIGMOD Record,2000,DBLP
74,journals/sigmod/Franklin97a,Editor's Notes,Michael J. Franklin,SIGMOD Record,1997,DBLP
74,journals/sigmod/Segev95,Editor's (Farewell) Notes,Arie Segev,SIGMOD Record,1995,DBLP
74,journals/sigmod/Liu02b,Editor's Notes,Ling Liu,SIGMOD Record,2002,DBLP
74,journals/sigmod/Widom96b,Editor's Notes,Jennifer Widom,SIGMOD Record,1996,DBLP
74,journals/sigmod/Liu01a,Editor's Notes,Ling Liu,SIGMOD Record,2001,DBLP
74,journals/sigmod/Liu02,Editor's Notes,Ling Liu,SIGMOD Record,2002,DBLP
74,journals/sigmod/Liu01,Editor's Notes,Ling Liu,SIGMOD Record,2001,DBLP
75,564767,Rainbow: mapping-driven XQuery processing system,"Xin Zhang, Mukesh Mulchandani, Steffen Christ, Brian Murphy, Elke A. Rundensteiner",International Conference on Management of Data,2002,ACM
75,conf/sigmod/ZhangMCMR02,Rainbow: mapping-driven XQuery processing system,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,2002,DBLP
76,journals/vldb/PoulovassilisS96,Algebraic Query Optimisation for Database Programming Languages,"Carol Small, Alexandra Poulovassilis",VLDB J.,1996,DBLP
76,672965,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,"Alexandra Poulovassilis, Carol Small",Very Large Data Bases,1994,ACM
76,conf/vldb/PoulovassilisS94,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,"Alexandra Poulovassilis, Carol Small",VLDB,1994,DBLP
