id,title,authors,venue,year,source
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur «etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",SIGMOD Conference,2003,DBLP
journals/vldb/SivasankaranSTPR96,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",VLDB J.,1996,DBLP
journals/vldb/SheikholeslamiCZ00,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB J.,2000,DBLP
journals/vldb/ChangG01,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001,DBLP
conf/vldb/ShaferAM96,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",VLDB,1996,DBLP
conf/sigmod/AgichteinGV01,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001,DBLP
conf/sigmod/GriffinH97,A Framework for Implementing Hypothetical Queries,"Timothy Griffin, Richard Hull",SIGMOD Conference,1997,DBLP
journals/vldb/IoannidisNSS97,Parametric Query Optimization,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",VLDB J.,1997,DBLP
conf/vldb/CuiW01,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom",VLDB,2001,DBLP
journals/sigmod/Hammer02,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),Joachim Hammer,SIGMOD Record,2002,DBLP
conf/vldb/Bar-YossefBCFW00,Approximating Aggregate Queries about Web Pages via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,2000,DBLP
journals/sigmod/FernandezFLS97,A Query Language for a Web-Site Management System,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",SIGMOD Record,1997,DBLP
conf/vldb/BertinoBFS96,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",VLDB,1996,DBLP
conf/sigmod/LiS98,Free Parallel Data Mining,"Bin Li, Dennis Shasha",SIGMOD Conference,1998,DBLP
conf/vldb/ChenCFGJMTW99,High Level Indexing of User-Defined Types,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson MendonÁa Mattos",VLDB,1999,DBLP
conf/vldb/Bernstein94,PC Database Systems - Present and Future,Philip A. Bernstein,VLDB,1994,DBLP
conf/vldb/LuoN01,Form-Based Proxy Caching for Database-Backed Web Sites,"Jeffrey F. Naughton, Qiong Luo",VLDB,2001,DBLP
journals/vldb/AbiteboulCM98,A Logical View of Structured Files,"Tova Milo, Serge Abiteboul, Sophie Cluet",VLDB J.,1998,DBLP
journals/sigmod/PitouraAPSV03,DBGlobe: a service-oriented P2P system for global computing,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",SIGMOD Record,2003,DBLP
conf/sigmod/BraumandlKK99,Database Patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",SIGMOD Conference,1999,DBLP
conf/vldb/ZemankovaI94,Scientific Databases - State of the Art and Future Directions,"Yannis E. Ioannidis, Maria Zemankova",VLDB,1994,DBLP
conf/vldb/BerckenSW97,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",VLDB,1997,DBLP
conf/vldb/ZhouS03,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"Jˆrg Sander, Jianjun Zhou",VLDB,2003,DBLP
conf/vldb/LabioG96,Efficient Snapshot Differential Algorithms for Data Warehousing,"Hector Garcia-Molina, Wilburt Labio",VLDB,1996,DBLP
conf/vldb/CochranePM96,Integrating Triggers and Declarative Constraints in SQL Database Sytems,"Roberta Cochrane, Hamid Pirahesh, Nelson MendonÁa Mattos",VLDB,1996,DBLP
conf/vldb/HristidisGP03,Efficient IR-Style Keyword Search over Relational Databases,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",VLDB,2003,DBLP
journals/vldb/SaltenisJ02,Indexing of now-relative spatio-bitemporal data,"Simonas Saltenis, Christian S. Jensen",VLDB J.,2002,DBLP
conf/sigmod/Dyreson03,"Temporal Coalescing with Now, Granularity, and Incomplete Information",Curtis E. Dyreson,SIGMOD Conference,2003,DBLP
journals/sigmod/ChakravarthyAEFO03,Database Research at UT Arlington,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",SIGMOD Record,2003,DBLP
journals/sigmod/KimballS95,Why Decision Support Fails and How To Fix It,"Kevin Strehlo, Ralph Kimball",SIGMOD Record,1995,DBLP
conf/vldb/OzdenBRS94,A Low-Cost Storage Server for Movie on Demand Databases,"Alexandros Biliris, Banu ÷zden, Abraham Silberschatz, Rajeev Rastogi",VLDB,1994,DBLP
conf/vldb/NinkHR99,Generating Call-Level Interfaces for Advanced Database Application Programming,"Theo H‰rder, Norbert Ritter, Udo Nink",VLDB,1999,DBLP
conf/sigmod/WangWYY02,Clustering by pattern similarity in large data sets,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",SIGMOD Conference,2002,DBLP
conf/sigmod/Rodriguez-Martinez00,MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,"Manuel Rodriguez-Martinez, Joseph J·J·, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",SIGMOD Conference,2000,DBLP
conf/sigmod/ChenDLT00,Fact: A Learning Based Web Query Processing System,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",SIGMOD Conference,2000,DBLP
journals/sigmod/MeltonE01,SQL Multimedia and Application Packages (SQL/MM),"Jim Melton, Andrew Eisenberg",SIGMOD Record,2001,DBLP
conf/vldb/Sheth96,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,Amit P. Sheth,VLDB,1996,DBLP
conf/sigmod/Larson01,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),Per-≈ke Larson,SIGMOD Conference,2001,DBLP
journals/sigmod/ChaudhuriD97,An Overview of Data Warehousing and OLAP Technology,"Surajit Chaudhuri, Umeshwar Dayal",SIGMOD Record,1997,DBLP
conf/sigmod/BersonGMJ94,Staggered Striping in Multimedia Information Systems,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",SIGMOD Conference,1994,DBLP
journals/sigmod/GerlaX03,Multimedia streaming in large-scale sensor networks with mobile swarms,"Mario Gerla, Kaixin Xu",SIGMOD Record,2003,DBLP
journals/sigmod/Klein94,How to Modify SQL Queries in Order to Guarantee Sure Answers,Hans-Joachim Klein,SIGMOD Record,1994,DBLP
conf/vldb/PirotteZMY94,Materialization: A Powerful and Ubiquitous Abstraction Pattern,"Alain Pirotte, Esteban Zim·nyi, Tatiana Yakusheva, David Massart",VLDB,1994,DBLP
conf/sigmod/DattaDRTV01,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",SIGMOD Conference,2001,DBLP
journals/sigmod/Bertram94,Data Modelling in the Large,Martin Bertram,SIGMOD Record,1994,DBLP
conf/sigmod/TatarinovIHW01,Updating XML,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,2001,DBLP
journals/sigmod/RoantreeS02,Research in Information Managment at Dublin City University,"Alan F. Smeaton, Mark Roantree",SIGMOD Record,2002,DBLP
conf/sigmod/BaumannDFRW98,The Multidimensional Database System RasDaMan,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",SIGMOD Conference,1998,DBLP
conf/vldb/AnSVKIG01,Analyzing energy behavior of spatial access methods for memory-resident data,"Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir",VLDB,2001,DBLP
conf/vldb/Graefe99,The Value of Merge-Join and Hash-Join in SQL Server,Goetz Graefe,VLDB,1999,DBLP
conf/sigmod/Weininger02,Efficient execution of joins in a star schema,Andreas Weininger,SIGMOD Conference,2002,DBLP
conf/vldb/ChristopheBPV00,PicoDMBS: Scaling Down Database Techniques for the Smartcard,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",VLDB,2000,DBLP
conf/vldb/JagadishKNS99,Multi-Dimensional Substring Selectivity Estimation,"Divesh Srivastava, Olga Kapitskaia, Raymond T. Ng, H. V. Jagadish",VLDB,1999,DBLP
journals/vldb/HarderST99,The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,"Theo H‰rder, Joachim Thomas, G¸nter Sauter",VLDB J.,1999,DBLP
conf/sigmod/Mohan99,A Database Perspective on Lotus Domino/Notes,C. Mohan,SIGMOD Conference,1999,DBLP
journals/sigmod/Camps96,"Domains, Relations and Religious Wars",Rafael Camps,SIGMOD Record,1996,DBLP
conf/vldb/Shenker03,The Data-Centric Revolution in Networking,Scott Shenker,VLDB,2003,DBLP
conf/sigmod/DeshpandeNGS03,Cache-and-Query for Wide Area Sensor Databases,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",SIGMOD Conference,2003,DBLP
conf/vldb/GardarinGT95,A Cost Model for Clustered Object-Oriented Databases,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",VLDB,1995,DBLP
conf/vldb/Garcia-MolinaLY98,Expiring Data in a Warehouse,"Wilburt Labio, Jun Yang, Hector Garcia-Molina",VLDB,1998,DBLP
journals/sigmod/Qian97,Opportunities in Information Management and Assurance,Xiaolei Qian,SIGMOD Record,1997,DBLP
conf/vldb/EicklerKK97,Finding Data in the Neighborhood,"AndrÈ Eickler, Alfons Kemper, Donald Kossmann",VLDB,1997,DBLP
conf/sigmod/HristidisKP01,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",SIGMOD Conference,2001,DBLP
journals/sigmod/Liu02,Editor's Notes,Ling Liu,SIGMOD Record,2002,DBLP
conf/sigmod/ZhangMCMR02,Rainbow: mapping-driven XQuery processing system,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,2002,DBLP
journals/vldb/PoulovassilisS96,Algebraic Query Optimisation for Database Programming Languages,"Carol Small, Alexandra Poulovassilis",VLDB J.,1996,DBLP
journals/tods/AikenHW95,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",ACM Trans. Database Syst.,1995,DBLP
conf/sigmod/TheodoulidisAACKS94,The ORES Temporal Database Management System,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",SIGMOD Conference,1994,DBLP
journals/tods/MumickFPR96,Magic Conditions,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",ACM Trans. Database Syst.,1996,DBLP
conf/vldb/MoserKK95,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,"Wolfgang Klas, Frank Moser, Achim Kraiss",VLDB,1995,DBLP
conf/sigmod/Spiro98,"Ubiquitous, Self-tuning, Scalable Servers",Peter M. Spiro,SIGMOD Conference,1998,DBLP
conf/vldb/Sarawagi99,Explaining Differences in Multidimensional Aggregates,Sunita Sarawagi,VLDB,1999,DBLP
conf/vldb/WuYCT95,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",VLDB,1995,DBLP
conf/sigmod/Vaskevitch94,Database in Crisis and Transition: A Technical Agenda for the Year 2001,David Vaskevitch,SIGMOD Conference,1994,DBLP
conf/sigmod/Sheth95,"Workflow Automation: Applications, Technology, and Research (Tutorial)",Amit P. Sheth,SIGMOD Conference,1995,DBLP
journals/sigmod/KantM00,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)","Krishna Kant, Prasant Mohapatra",SIGMOD Record,2000,DBLP
conf/vldb/PottingerL00,A Scalable Algorithm for Answering Queries Using Views,"Rachel Pottinger, Alon Y. Levy",VLDB,2000,DBLP
journals/sigmod/Snodgrass02,Why I Like Working in Academia,Richard T. Snodgrass,SIGMOD Record,2002,DBLP
conf/sigmod/GionisGK01,Efficient and Tunable Similar Set Retrieval,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",SIGMOD Conference,2001,DBLP
conf/vldb/ChakrabartiRS02,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",VLDB,2002,DBLP
conf/vldb/DayalHL01,"Business Process Coordination: State of the Art, Trends, and Open Issues","Meichun Hsu, Rivka Ladin, Umeshwar Dayal",VLDB,2001,DBLP
conf/vldb/Bowker00,Work and Information Practices in the Sciences of Biodiversity,Geoffrey C. Bowker,VLDB,2000,DBLP
conf/sigmod/GibbsBT94,Data Modeling of Time-Based Media,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",SIGMOD Conference,1994,DBLP
journals/tods/SrivastavaSRN95,Space Optimization in Deductive Databases,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",ACM Trans. Database Syst.,1995,DBLP
journals/sigmod/Snodgrass00a,Chair's Message,Richard T. Snodgrass,SIGMOD Record,2000,DBLP
journals/sigmod/Alonso94b,Trade Press News - Announcement and Preface,Rafael Alonso,SIGMOD Record,1994,DBLP
conf/sigmod/ChenGM01,Improving Index Performance through Prefetching,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",SIGMOD Conference,2001,DBLP
journals/sigmod/Qian96b,New Programs at DARPA and NSF,Xiaolei Qian,SIGMOD Record,1996,DBLP
conf/vldb/PoulovassilisS94,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,"Alexandra Poulovassilis, Carol Small",VLDB,1994,DBLP
conf/vldb/DeutschPT99,"Physical Data Independence, Constraints, and Optimization with Universal Plans","Lucian Popa, Alin Deutsch, Val Tannen",VLDB,1999,DBLP
conf/sigmod/IvesFFLW99,An Adaptive Query Execution System for Data Integration,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",SIGMOD Conference,1999,DBLP
conf/vldb/Sondag01,The Semantic Web Paving the Way to the Knowledge Society,Pierre-Paul Sondag,VLDB,2001,DBLP
conf/vldb/ShaferA97,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,"Rakesh Agrawal, John C. Shafer",VLDB,1997,DBLP
journals/tods/DiaoAFZF03,Path sharing and predicate evaluation for high-performance XML filtering,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",ACM Trans. Database Syst.,2003,DBLP
conf/sigmod/GangulyGR03,Processing Set Expressions over Continuous Update Streams,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",SIGMOD Conference,2003,DBLP
conf/vldb/Johnson99,Performance Measurements of Compressed Bitmap Indices,Theodore Johnson,VLDB,1999,DBLP
conf/vldb/ChanI99,Hierarchical Prefix Cubes for Range-Sum Queries,"Chee Yong Chan, Yannis E. Ioannidis",VLDB,1999,DBLP
journals/tods/WijesekeraJPH03,Removing permissions in the flexible authorization framework,"≈sa Hagstrˆm, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",ACM Trans. Database Syst.,2003,DBLP
conf/sigmod/AmbiteABKMMMPT98,ARIADNE: A System for Constructing Mediators for Internet Sources,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, JosÈ Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",SIGMOD Conference,1998,DBLP
journals/tods/MamoulisP01,Multiway spatial joins,"Dimitris Papadias, Nikos Mamoulis",ACM Trans. Database Syst.,2001,DBLP
conf/sigmod/HarinarayanRU96,Implementing Data Cubes Efficiently,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",SIGMOD Conference,1996,DBLP
journals/sigmod/MattosD94,Recent Design Trade-offs in SQL3,"Nelson MendonÁa Mattos, Linda G. DeMichiel",SIGMOD Record,1994,DBLP
journals/sigmod/EisenbergM99a,SQLJ-Part 1: SQL Routines Using the Java Programming Language,"Andrew Eisenberg, Jim Melton",SIGMOD Record,1999,DBLP
conf/sigmod/RafieiM97,Similarity-Based Queries for Time Series Data,"Alberto O. Mendelzon, Davood Rafiei",SIGMOD Conference,1997,DBLP
journals/sigmod/PapianiWDN99,"A Distributed Scientific Data Archive Using the Web, XML and SQL/MED","Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani",SIGMOD Record,1999,DBLP
conf/vldb/HeymannTKWRMF02,Viator - A Tool Family for Graphical Networking and Data View Creation,"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag",VLDB,2002,DBLP
journals/sigmod/Jagadish01,Information Warfare and Security - Book Review,H. V. Jagadish,SIGMOD Record,2001,DBLP
conf/vldb/Norvag99,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,Kjetil N¯rvÂg,VLDB,1999,DBLP
conf/vldb/BelussiF95,Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,"Christos Faloutsos, Alberto Belussi",VLDB,1995,DBLP
journals/vldb/AslanM99,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,"Dennis McLeod, Goksel Aslan",VLDB J.,1999,DBLP
journals/sigmod/YeungHL94,Performance Evaluation of a New Distributed Deadlock Detection Algorithm,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",SIGMOD Record,1994,DBLP
journals/sigmod/MeltonMJKSZ01,SQL and Management of External Data,"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski",SIGMOD Record,2001,DBLP
conf/vldb/LernerS03,"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments","Alberto Lerner, Dennis Shasha",VLDB,2003,DBLP
conf/vldb/GarofalakisOS97,Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,"Banu ÷zden, Minos N. Garofalakis, Abraham Silberschatz",VLDB,1997,DBLP
conf/sigmod/ShouCTRH01,REVIEW: A Real Time Virtual Walkthrough System,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",SIGMOD Conference,2001,DBLP
journals/tods/TendickM94,A Modified Random Perturbation Method for Database Security,"Norman S. Matloff, Patrick Tendick",ACM Trans. Database Syst.,1994,DBLP
conf/sigmod/Suciu99,Managing Web Data,Dan Suciu,SIGMOD Conference,1999,DBLP
conf/vldb/Raghavan96,Loading the Data Warehouse Across Various Parallel Architectures,Vijay V. Raghavan,VLDB,1996,DBLP
journals/sigmod/KarlapalemLS95,HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",SIGMOD Record,1995,DBLP
conf/vldb/ShashaB02,"Database Tuning: Principles, Experiments, and Troubleshooting Techniques","Philippe Bonnet, Dennis Shasha",VLDB,2002,DBLP
journals/sigmod/RossGN03,Reminiscences an Influential Papers,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",SIGMOD Record,2003,DBLP
journals/sigmod/Zhang95,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,Jian Zhang,SIGMOD Record,1995,DBLP
conf/sigmod/ClossmanSHKPB98,Java and Relational Databases: SQLJ (Tutorial),"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",SIGMOD Conference,1998,DBLP
conf/sigmod/KaushikBNK02,Covering indexes for branching path queries,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",SIGMOD Conference,2002,DBLP
conf/sigmod/LiC95,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,"Wen-Syan Li, Chris Clifton",SIGMOD Conference,1995,DBLP
journals/sigmod/LabrinidisM01,Career-Enhancing Services at SIGMOD Online,"Alexandros Labrinidis, Alberto O. Mendelzon",SIGMOD Record,2001,DBLP
conf/sigmod/GuptaHR97,Revisiting Commit Processing in Distributed Database Systems,"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta",SIGMOD Conference,1997,DBLP
journals/tods/Alagic99,Type-Checking OQL Queries In the ODMG Type Systems,Suad Alagic,ACM Trans. Database Syst.,1999,DBLP
conf/sigmod/Golding95,Things Every Update Replication Customer Should Know,Rob Golding,SIGMOD Conference,1995,DBLP
journals/sigmod/Jonsson03,In Memory of GÌsli R. Hjaltason,Bjˆrn ﬁÛr JÛnsson,SIGMOD Record,2003,DBLP
conf/vldb/LevyMS94,Query Optimization by Predicate Move-Around,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",VLDB,1994,DBLP
conf/sigmod/FernandezFKLS98,Catching the Boat with Strudel: Experiences with a Web-Site Management System,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",SIGMOD Conference,1998,DBLP
conf/sigmod/SlivinskasJS01,Adaptable Query Optimization and Evaluation in Temporal Middleware,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",SIGMOD Conference,2001,DBLP
conf/sigmod/ZhangRL96,BIRCH: An Efficient Data Clustering Method for Very Large Databases,"Raghu Ramakrishnan, Miron Livny, Tian Zhang",SIGMOD Conference,1996,DBLP
conf/sigmod/TaoP02,Time-parameterized queries in spatio-temporal databases,"Dimitris Papadias, Yufei Tao",SIGMOD Conference,2002,DBLP
conf/sigmod/HanKK97,Scalable Parallel Data Mining for Association Rules,"Eui-Hong Han, Vipin Kumar, George Karypis",SIGMOD Conference,1997,DBLP
journals/tods/BaralisW00,An algebraic approach to static analysis of active database rules,"Jennifer Widom, Elena Baralis",ACM Trans. Database Syst.,2000,DBLP
conf/vldb/CatozziR95,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"Sorana Rabinovici, John Catozzi",VLDB,1995,DBLP
conf/sigmod/SismanisDRK02,Dwarf: shrinking the PetaCube,"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos",SIGMOD Conference,2002,DBLP
conf/sigmod/PiatkoYLS96,Thinksheet: A Tool for Tailoring Complex Documents,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",SIGMOD Conference,1996,DBLP
conf/sigmod/ZouS96,On-line Reorganization of Sparsely-populated B+trees,"Betty Salzberg, Chendong Zou",SIGMOD Conference,1996,DBLP
conf/sigmod/Weininger00,Handling Very Large Databases with Informix Extended Parallel Server,Andreas Weininger,SIGMOD Conference,2000,DBLP
conf/vldb/ChaudhuriS94,Including Group-By in Query Optimization,"Surajit Chaudhuri, Kyuseok Shim",VLDB,1994,DBLP
conf/vldb/BestavrosB95,Value-cognizant Speculative Concurrency Control,"Azer Bestavros, Spyridon Braoudakis",VLDB,1995,DBLP
journals/sigmod/Geller02,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,James Geller,SIGMOD Record,2002,DBLP
journals/sigmod/LenzeriniNNS01,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",SIGMOD Record,2001,DBLP
conf/sigmod/GravanoCGP97,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",SIGMOD Conference,1997,DBLP
conf/vldb/BerchtoldKK96,The X-tree : An Index Structure for High-Dimensional Data,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",VLDB,1996,DBLP
conf/vldb/AnanthakrishnaCG02,Eliminating Fuzzy Duplicates in Data Warehouses,"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri",VLDB,2002,DBLP
conf/vldb/KerstenWFKBC03,A Database Striptease or How to Manage Your Personal Databases,"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten",VLDB,2003,DBLP
conf/sigmod/DogacTPPLKTK02,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",SIGMOD Conference,2002,DBLP
journals/sigmod/Bohlen95,Temporal Database System Implementations,Michael H. Bˆhlen,SIGMOD Record,1995,DBLP
conf/vldb/CohenMKS03,XSEarch: A Semantic Search Engine for XML,"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou",VLDB,2003,DBLP
conf/vldb/HaberIL95,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VLDB,1995,DBLP
